4	1	media/banners/Untitled_design_2dKLROd_bk2JOzf_sup2wq	2026-02-14 07:52:21+00	2026-08-29 07:52:33+00	t		2026-02-14 07:52:43.962+00
5	2	media/banners/0894323c-d11a-48c1-95d6-5b3034436c64_yImfGkh_ffanrc	2026-02-14 07:52:58+00	2026-05-08 07:53:02+00	t		2026-02-14 07:53:03.023+00
6	3	media/banners/f667863e-9792-4af2-ace9-b23dfeebd90a_hu8mgyl_v6n3pd	2026-02-14 07:53:17+00	2026-04-03 07:53:20+00	t		2026-02-14 07:53:21.866+00
8	4	media/banners/93dc03cb-c02b-4f77-801e-e4a1c360a4fa_pvOMkYZ_qKbbxCW_vot1cb	2026-02-14 07:54:04+00	2026-05-08 07:54:08+00	t		2026-02-14 07:54:09.833+00
10	5	media/banners/ad915317-a4f5-4f42-be60-e4ce816e5b9d_adts7bC_epglcv	2026-02-24 23:49:15+00	2026-06-30 18:00:00+00	t		2026-02-23 23:49:33.544+00
\.


