1	2026-01-22 03:57:11.946+00	2026-01-22 03:57:11.946+00	1
2	2026-01-24 13:44:58.472+00	2026-01-24 13:44:58.472+00	10
3	2026-01-24 16:29:24.367+00	2026-01-24 16:29:24.367+00	17
4	2026-01-25 11:10:30.123+00	2026-01-25 11:10:30.123+00	16
5	2026-01-26 05:11:07.894+00	2026-01-26 05:11:07.894+00	19
6	2026-01-26 12:45:32.507+00	2026-01-26 12:45:32.507+00	31
7	2026-01-28 03:47:14.697+00	2026-01-28 03:47:14.697+00	18
8	2026-01-28 04:49:56.439+00	2026-01-28 04:49:56.439+00	51
9	2026-01-28 06:55:54.442+00	2026-01-28 06:55:54.442+00	27
10	2026-01-28 16:17:19.718+00	2026-01-28 16:17:19.718+00	56
11	2026-02-04 13:42:57.646+00	2026-02-04 13:42:57.646+00	28
12	2026-02-15 03:35:55.78+00	2026-02-15 03:35:55.78+00	30
13	2026-02-15 05:18:48.293+00	2026-02-15 05:18:48.293+00	35
14	2026-02-15 13:32:52.645+00	2026-02-15 13:32:52.645+00	82
15	2026-02-19 09:50:35.07+00	2026-02-19 09:50:35.07+00	121
16	2026-02-19 11:04:35.341+00	2026-02-19 11:04:35.341+00	122
17	2026-02-19 11:11:25.488+00	2026-02-19 11:11:25.488+00	123
18	2026-02-19 11:25:26.496+00	2026-02-19 11:25:26.496+00	124
19	2026-02-24 23:30:43.202909+00	2026-02-24 23:30:43.202941+00	67
20	2026-03-09 14:55:39.662638+00	2026-03-09 14:55:39.662659+00	137
21	2026-03-09 14:57:00.461804+00	2026-03-09 14:57:00.461819+00	143
22	2026-03-10 06:07:56.455384+00	2026-03-10 06:07:56.455404+00	148
23	2026-03-10 12:28:48.667629+00	2026-03-10 12:28:48.667649+00	125
24	2026-03-11 13:38:34.093481+00	2026-03-11 13:38:34.093496+00	131
25	2026-03-12 06:59:43.822165+00	2026-03-12 06:59:43.822186+00	37
\.


